Nazwa,Rok,Szpitale,Pielegniarki_Polozne,Lekarze,Apteki,Punkty_apteczne,Osoby_swiadczenia_spoleczne,Placowki_ambulatoryjne,Ludnosc,Lozka
Wielkopolskie,2017,62.0,16522.0,13154.0,1364.0,123.0,158227.0,1931.0,3489210.0,15600.0
Wielkopolskie,2018,61.0,16022.0,13025.0,1316.0,125.0,142206.0,1937.0,3493969.0,15061.0
Wielkopolskie,2019,59.0,15309.0,12856.0,1260.0,115.0,134356.0,1949.0,3498733.0,13094.0
Wielkopolskie,2020,54.0,15522.0,13213.0,1250.0,117.0,129593.0,1898.0,3507042.0,13008.0
Wielkopolskie,2021,55.0,23613.0,11409.0,1225.0,117.0,116818.0,1921.0,3500030.0,13169.0
Wielkopolskie,2022,59.0,17349.0,11006.0,1196.0,113.0,111771.0,1976.0,3493577.0,13629.0
Wielkopolskie,2023,57.0,18481.0,12952.0,1196.0,117.0,110216.0,2056.0,3487973.0,13309.0
Wielkopolskie,2024,61.0,18592.0,13447.0,1177.0,117.0,102723.0,2208.0,3479986.0,13511.0
Zachodniopomorskie,2009,31.0,8206.0,6322.0,412.0,38.0,163076.0,765.0,1693198.0,7952.0
Zachodniopomorskie,2010,31.0,8464.0,6534.0,481.0,44.0,161400.0,781.0,1723741.0,7786.0
Zachodniopomorskie,2011,33.0,8398.0,7010.0,491.0,39.0,156548.0,884.0,1722739.0,7746.0
Zachodniopomorskie,2012,40.0,10341.0,6941.0,502.0,37.0,146706.0,889.0,1721405.0,8387.0
Zachodniopomorskie,2013,51.0,8741.0,7512.0,520.0,39.0,149143.0,902.0,1718861.0,8403.0
Zachodniopomorskie,2014,50.0,8961.0,7719.0,533.0,41.0,136186.0,934.0,1715431.0,8352.0
Zachodniopomorskie,2015,48.0,8982.0,7709.0,560.0,44.0,126275.0,931.0,1710482.0,8268.0
Zachodniopomorskie,2016,46.0,8979.0,8163.0,575.0,45.0,113951.0,973.0,1708174.0,8173.0
Zachodniopomorskie,2017,44.0,9147.0,8330.0,588.0,44.0,100011.0,973.0,1705533.0,7895.0
Zachodniopomorskie,2018,43.0,9764.0,8799.0,575.0,47.0,89919.0,997.0,1701030.0,7842.0
Zachodniopomorskie,2019,44.0,9812.0,8969.0,552.0,42.0,80321.0,923.0,1696193.0,6876.0
Zachodniopomorskie,2020,44.0,9761.0,8880.0,549.0,40.0,73007.0,884.0,1661073.0,6901.0
Zachodniopomorskie,2021,44.0,10337.0,5831.0,541.0,41.0,65911.0,941.0,1650021.0,7052.0
Zachodniopomorskie,2022,44.0,8051.0,5544.0,533.0,45.0,59315.0,997.0,1640622.0,6809.0
Zachodniopomorskie,2023,46.0,8483.0,6317.0,531.0,41.0,57345.0,1024.0,1631784.0,6631.0
Zachodniopomorskie,2024,43.0,8468.0,6617.0,518.0,38.0,53434.0,1091.0,1622760.0,6236.0
