Nazwa,Rok,Szpitale,Pielegniarki_Polozne,Lekarze,Apteki,Punkty_apteczne,Osoby_swiadczenia_spoleczne,Placowki_ambulatoryjne,Ludnosc,Lozka
Lubelskie,2017,53.0,14759.0,13058.0,831.0,58.0,106750.0,1288.0,2126317.0,11190.0
Lubelskie,2018,45.0,14754.0,12746.0,812.0,54.0,97747.0,1261.0,2117619.0,10988.0
Lubelskie,2019,46.0,15223.0,13421.0,753.0,54.0,89172.0,1229.0,2108270.0,9984.0
Lubelskie,2020,45.0,15662.0,13918.0,739.0,53.0,79831.0,1203.0,2056908.0,10738.0
Lubelskie,2021,47.0,18163.0,9072.0,734.0,51.0,70532.0,1243.0,2038299.0,10570.0
Lubelskie,2022,46.0,14264.0,8444.0,724.0,53.0,64594.0,1247.0,2024637.0,10406.0
Lubelskie,2023,45.0,15193.0,10320.0,716.0,53.0,62967.0,1296.0,2011047.0,9568.0
Lubelskie,2024,44.0,15385.0,10703.0,699.0,53.0,57977.0,1324.0,1996440.0,9533.0
Lubuskie,2009,20.0,5176.0,3231.0,288.0,47.0,105169.0,456.0,1010047.0,4357.0
Lubuskie,2010,19.0,5108.0,3319.0,296.0,47.0,102705.0,461.0,1023215.0,4191.0
Lubuskie,2011,20.0,5281.0,3600.0,301.0,46.0,96694.0,517.0,1023158.0,4219.0
Lubuskie,2012,25.0,5686.0,3845.0,304.0,42.0,91095.0,536.0,1023317.0,4537.0
Lubuskie,2013,25.0,5746.0,4087.0,313.0,46.0,94372.0,529.0,1021470.0,4469.0
Lubuskie,2014,25.0,5642.0,4312.0,323.0,54.0,89964.0,547.0,1020307.0,4443.0
Lubuskie,2015,26.0,5651.0,4329.0,316.0,51.0,85187.0,551.0,1018075.0,4402.0
Lubuskie,2016,24.0,5583.0,4425.0,319.0,53.0,76651.0,584.0,1017376.0,4347.0
Lubuskie,2017,24.0,5936.0,4592.0,329.0,49.0,69413.0,585.0,1016832.0,4401.0
Lubuskie,2018,24.0,5980.0,4394.0,313.0,41.0,62057.0,582.0,1014548.0,4279.0
Lubuskie,2019,24.0,6041.0,4571.0,305.0,43.0,56393.0,573.0,1011592.0,3978.0
Lubuskie,2020,26.0,6029.0,4635.0,297.0,43.0,53285.0,564.0,993329.0,4172.0
Lubuskie,2021,24.0,5969.0,2469.0,291.0,43.0,47567.0,574.0,985487.0,4049.0
Lubuskie,2022,23.0,4676.0,2508.0,282.0,43.0,44027.0,580.0,979976.0,3863.0
Lubuskie,2023,24.0,4956.0,2839.0,278.0,42.0,41703.0,621.0,975023.0,3766.0
Lubuskie,2024,24.0,4998.0,3002.0,272.0,39.0,39145.0,624.0,969819.0,3693.0
Łódzkie,2009,56.0,14030.0,12438.0,890.0,78.0,188740.0,1275.0,2541832.0,13624.0
Łódzkie,2010,61.0,13529.0,12218.0,887.0,67.0,187639.0,1279.0,2542436.0,13533.0
Łódzkie,2011,62.0,14293.0,13474.0,897.0,75.0,183207.0,1529.0,2533681.0,13407.0
Łódzkie,2012,66.0,16767.0,13776.0,864.0,77.0,181431.0,1523.0,2524651.0,13134.0
Łódzkie,2013,74.0,14596.0,14986.0,863.0,82.0,190901.0,1493.0,2513093.0,13428.0
Łódzkie,2014,71.0,14655.0,15665.0,856.0,85.0,176790.0,1546.0,2504136.0,13291.0
Łódzkie,2015,68.0,14575.0,15744.0,912.0,88.0,168895.0,1562.0,2493603.0,12985.0
Łódzkie,2016,67.0,14284.0,16371.0,935.0,96.0,153471.0,1619.0,2485323.0,12777.0
Łódzkie,2017,65.0,15081.0,16075.0,945.0,97.0,138528.0,1621.0,2476315.0,12776.0
Łódzkie,2018,69.0,15207.0,15921.0,906.0,94.0,126723.0,1631.0,2466322.0,12527.0
Łódzkie,2019,63.0,15387.0,16072.0,829.0,78.0,116540.0,1630.0,2454779.0,11516.0
Łódzkie,2020,60.0,15455.0,16361.0,823.0,79.0,103314.0,1603.0,2415816.0,11491.0
Łódzkie,2021,61.0,18884.0,11659.0,820.0,79.0,92781.0,1629.0,2394946.0,11615.0
Łódzkie,2022,61.0,13584.0,10725.0,802.0,76.0,84827.0,1659.0,2378483.0,11160.0
Łódzkie,2023,62.0,14639.0,13060.0,777.0,76.0,84853.0,1707.0,2362519.0,11346.0
Łódzkie,2024,64.0,15175.0,13569.0,774.0,70.0,76695.0,1734.0,2345924.0,11345.0
Małopolskie,2009,68.0,18480.0,14901.0,967.0,113.0,183616.0,1362.0,3298270.0,14387.0
Małopolskie,2010,71.0,18896.0,15501.0,991.0,97.0,185885.0,1403.0,3336699.0,14274.0
Małopolskie,2011,69.0,19355.0,16835.0,1083.0,112.0,180463.0,1620.0,3346796.0,14362.0
