Nazwa,Rok,Szpitale,Pielegniarki_Polozne,Lekarze,Apteki,Punkty_apteczne,Osoby_swiadczenia_spoleczne,Placowki_ambulatoryjne,Ludnosc,Lozka,lekarze_na_10tys,pielegniarki_polozne_na_10tys,apteki_na_10tys,punkty_apteczne_na_10tys,apteki_i_punkty_na_10tys,szpitale_na_10tys,lozka_na_10tys,placowki_ambulatoryjne_na_10tys,mieszkancow_na_apteke,lekarze_na_10tys_norm,pielegniarki_polozne_na_10tys_norm,apteki_i_punkty_na_10tys_norm,szpitale_na_10tys_norm,lozka_na_10tys_norm,placowki_ambulatoryjne_na_10tys_norm,indeks_dostepnosci,miejsce_w_rankingu
Łódzkie,2015,68.0,14575.0,15744.0,912.0,88.0,168895.0,1562.0,2493603.0,12985.0,63.14,58.45,3.66,0.35,4.01,0.27,52.07,6.26,2734.21,0.6912885662431941,0.27737915407854996,0.84375,0.6000000000000002,0.7825194911776776,0.7050691244239631,0.65,2
Podlaskie,2015,34.0,7419.0,5997.0,387.0,61.0,94333.0,760.0,1188800.0,5933.0,50.45,62.41,3.26,0.51,3.77,0.29,49.91,6.39,3071.83,0.4609800362976406,0.3521525679758308,0.6937500000000001,0.7,0.6938859253180139,0.7350230414746542,0.606,4
Małopolskie,2015,81.0,21465.0,20470.0,1140.0,139.0,170252.0,1817.0,3372618.0,14861.0,60.69,63.64,3.38,0.41,3.79,0.24,44.06,5.39,2958.44,0.6468239564428311,0.3753776435045318,0.70625,0.45,0.45383668444809205,0.5046082949308754,0.523,5
Mazowieckie,2015,112.0,35029.0,36746.0,1738.0,144.0,264664.0,2741.0,5349114.0,25929.0,68.7,65.49,3.25,0.27,3.52,0.21,48.47,5.12,3077.74,0.7921960072595281,0.41030966767371596,0.5375000000000001,0.3,0.6347968814115716,0.44239631336405527,0.52,6
Dolnośląskie,2015,79.0,16900.0,14946.0,1012.0,68.0,153612.0,1350.0,2904207.0,14841.0,51.46,58.19,3.48,0.23,3.72,0.27,51.1,4.65,2869.77,0.4793103448275861,0.27246978851963743,0.6625000000000002,0.6000000000000002,0.7427164546573658,0.3341013824884793,0.515,7
Opolskie,2015,28.0,6465.0,3704.0,314.0,47.0,56238.0,538.0,996011.0,4604.0,37.19,64.91,3.15,0.47,3.62,0.28,46.22,5.4,3172.01,0.22032667876588014,0.39935800604229604,0.6000000000000001,0.6500000000000002,0.5424702503077554,0.5069124423963134,0.487,8
Świętokrzyskie,2015,25.0,8559.0,6066.0,421.0,60.0,101202.0,576.0,1257179.0,6313.0,48.25,68.08,3.35,0.48,3.83,0.2,50.22,4.58,2986.17,0.4210526315789473,0.459214501510574,0.7312500000000001,0.2500000000000001,0.7066064833812065,0.31797235023041476,0.481,9
Zachodniopomorskie,2015,48.0,8982.0,7709.0,560.0,44.0,126275.0,931.0,1710482.0,8268.0,45.07,52.51,3.27,0.26,3.53,0.28,48.34,5.44,3054.43,0.3633393829401088,0.1652190332326284,0.54375,0.6500000000000002,0.6294624538366846,0.5161290322580646,0.478,10
Podkarpackie,2015,41.0,14626.0,8826.0,655.0,134.0,151968.0,1137.0,2127657.0,10249.0,41.48,68.74,3.08,0.63,3.71,0.19,48.17,5.34,3248.33,0.298185117967332,0.47167673716012076,0.65625,0.20000000000000007,0.6224866639310629,0.49308755760368655,0.457,11
Warmińsko-Mazurskie,2015,43.0,7774.0,5577.0,411.0,45.0,156362.0,831.0,1439675.0,6668.0,38.74,54.0,2.85,0.31,3.17,0.3,46.32,5.77,3502.86,0.24845735027223229,0.19335347432024172,0.3187499999999999,0.75,0.5465736561345917,0.5921658986175115,0.442,12
