Nazwa,Rok,Szpitale,Pielegniarki_Polozne,Lekarze,Apteki,Punkty_apteczne,Osoby_swiadczenia_spoleczne,Placowki_ambulatoryjne,Ludnosc,Lozka,lekarze_na_10tys,pielegniarki_polozne_na_10tys,apteki_na_10tys,punkty_apteczne_na_10tys,apteki_i_punkty_na_10tys,szpitale_na_10tys,lozka_na_10tys,placowki_ambulatoryjne_na_10tys,mieszkancow_na_apteke,lekarze_na_10tys_norm,pielegniarki_polozne_na_10tys_norm,apteki_i_punkty_na_10tys_norm,szpitale_na_10tys_norm,lozka_na_10tys_norm,placowki_ambulatoryjne_na_10tys_norm,indeks_dostepnosci,miejsce_w_rankingu
Pomorskie,2017,44.0,11943.0,13071.0,745.0,44.0,122982.0,1026.0,2324251.0,9256.0,56.24,51.38,3.21,0.19,3.39,0.19,39.82,4.41,3119.8,0.5660617059891107,0.1438821752265862,0.4562500000000001,0.20000000000000007,0.27985227739023394,0.27880184331797236,0.321,16
Śląskie,2018,157.0,33627.0,30382.0,1485.0,102.0,167395.0,2790.0,4533565.0,24689.0,67.02,74.17,3.28,0.22,3.5,0.35,54.46,6.15,3052.91,0.7617059891107076,0.5742069486404835,0.525,1.0,0.8805908904390646,0.6797235023041476,0.737,1
Łódzkie,2018,69.0,15207.0,15921.0,906.0,94.0,126723.0,1631.0,2466322.0,12527.0,64.55,61.66,3.67,0.38,4.05,0.28,50.79,6.61,2722.21,0.7168784029038111,0.3379909365558912,0.86875,0.6500000000000002,0.7299958965941732,0.7857142857142858,0.682,2
Podlaskie,2018,34.0,7751.0,6115.0,398.0,54.0,69792.0,758.0,1181533.0,5888.0,51.75,65.6,3.37,0.46,3.83,0.29,49.83,6.42,2968.68,0.48457350272232297,0.4123867069486404,0.7312500000000001,0.7,0.6906032006565449,0.7419354838709677,0.627,3
Lubelskie,2018,45.0,14754.0,12746.0,812.0,54.0,97747.0,1261.0,2117619.0,10988.0,60.19,69.67,3.83,0.26,4.09,0.21,51.89,5.95,2607.91,0.6377495462794918,0.489237160120846,0.89375,0.3,0.7751333606893723,0.6336405529953917,0.622,4
Małopolskie,2018,88.0,23897.0,23376.0,1117.0,128.0,145635.0,1976.0,3400577.0,14853.0,68.74,70.27,3.28,0.38,3.66,0.26,43.68,5.81,3044.38,0.7929219600725951,0.5005664652567975,0.6250000000000001,0.5500000000000002,0.4382437423061141,0.6013824884792626,0.585,5
Mazowieckie,2018,121.0,37875.0,41626.0,1738.0,143.0,206321.0,3046.0,5403412.0,25770.0,77.04,70.09,3.22,0.26,3.48,0.22,47.69,5.64,3108.98,0.9435571687840291,0.49716767371601217,0.5125000000000001,0.3500000000000001,0.6027903159622486,0.5622119815668202,0.578,6
Dolnośląskie,2018,82.0,17714.0,15502.0,1037.0,66.0,111617.0,1602.0,2901225.0,14659.0,53.43,61.06,3.57,0.23,3.8,0.28,50.53,5.52,2797.71,0.5150635208711433,0.32666163141993965,0.7124999999999999,0.6500000000000002,0.719327041444399,0.5345622119815667,0.576,7
Podkarpackie,2018,42.0,15837.0,9727.0,687.0,124.0,111851.0,1229.0,2129015.0,9935.0,45.69,74.39,3.23,0.58,3.81,0.2,46.66,5.77,3099.0,0.3745916515426496,0.5783610271903323,0.7187500000000001,0.2500000000000001,0.5605252359458349,0.5921658986175115,0.512,8
Opolskie,2018,30.0,6089.0,3872.0,319.0,40.0,42922.0,561.0,986506.0,4418.0,39.25,61.72,3.23,0.41,3.64,0.3,44.78,5.69,3092.5,0.25771324863883843,0.33912386706948644,0.6125000000000002,0.75,0.4833812064013132,0.5737327188940092,0.503,9
Zachodniopomorskie,2018,43.0,9764.0,8799.0,575.0,47.0,89919.0,997.0,1701030.0,7842.0,51.73,57.4,3.38,0.28,3.66,0.25,46.1,5.86,2958.31,0.4842105263157893,0.25755287009063443,0.6250000000000001,0.5000000000000001,0.537546163315552,0.6129032258064516,0.503,9
Świętokrzyskie,2018,24.0,9417.0,6574.0,412.0,55.0,74573.0,634.0,1241546.0,5721.0,52.95,75.85,3.32,0.44,3.76,0.19,46.08,5.11,3013.46,0.5063520871143375,0.6059290030211479,0.6874999999999999,0.20000000000000007,0.5367254821501847,0.44009216589861755,0.496,11
Warmińsko-Mazurskie,2018,43.0,7799.0,5313.0,432.0,41.0,115517.0,856.0,1428983.0,6411.0,37.18,54.58,3.02,0.29,3.31,0.3,44.86,5.99,3307.83,0.2201451905626134,0.20430513595166164,0.40625000000000006,0.75,0.48666393106278216,0.6428571428571429,0.452,12
Lubuskie,2018,24.0,5980.0,4394.0,313.0,41.0,62057.0,582.0,1014548.0,4279.0,43.31,58.94,3.09,0.4,3.49,0.24,42.18,5.74,3241.37,0.33139745916515423,0.286631419939577,0.5187500000000002,0.45,0.37669265490357,0.5852534562211982,0.425,13
Kujawsko-Pomorskie,2018,41.0,12779.0,11201.0,628.0,84.0,148345.0,908.0,2077775.0,9591.0,53.91,61.5,3.02,0.4,3.43,0.2,46.16,4.37,3308.56,0.523774954627949,0.3349697885196375,0.4812500000000001,0.2500000000000001,0.5400082068116536,0.2695852534562212,0.4,14
Wielkopolskie,2018,61.0,16022.0,13025.0,1316.0,125.0,142206.0,1937.0,3493969.0,15061.0,37.28,45.86,3.77,0.36,4.12,0.17,43.11,5.54,2654.99,0.22196007259528128,0.03965256797583084,0.9125000000000002,0.1000000000000001,0.41485432909314734,0.5391705069124424,0.371,15
Pomorskie,2018,45.0,13233.0,13179.0,724.0,45.0,109933.0,1113.0,2333523.0,9100.0,56.48,56.71,3.1,0.19,3.3,0.19,39.0,4.77,3223.1,0.5704174228675134,0.24452416918429007,0.3999999999999999,0.20000000000000007,0.24620434961017648,0.3617511520737326,0.337,16
Śląskie,2019,136.0,33706.0,30708.0,1420.0,99.0,152608.0,2797.0,4517635.0,23287.0,67.97,74.61,3.14,0.22,3.36,0.3,51.55,6.19,3181.43,0.7789473684210525,0.5825151057401813,0.43749999999999994,0.75,0.7611817808781288,0.6889400921658987,0.667,1
Łódzkie,2019,63.0,15387.0,16072.0,829.0,78.0,116540.0,1630.0,2454779.0,11516.0,65.47,62.68,3.38,0.32,3.69,0.26,46.91,6.64,2961.13,0.7335753176043557,0.3572507552870091,0.64375,0.5500000000000002,0.5707837505129256,0.792626728110599,0.608,2
Lubelskie,2019,46.0,15223.0,13421.0,753.0,54.0,89172.0,1229.0,2108270.0,9984.0,63.66,72.21,3.57,0.26,3.83,0.22,47.36,5.83,2799.83,0.700725952813067,0.5371978851963746,0.7312500000000001,0.3500000000000001,0.589249076733689,0.6059907834101382,0.586,3
Podlaskie,2019,32.0,7867.0,6146.0,382.0,51.0,64050.0,762.0,1178353.0,5086.0,52.16,66.76,3.24,0.43,3.67,0.27,43.16,6.47,3084.69,0.4920145190562612,0.4342900302114805,0.63125,0.6000000000000002,0.41690603200656534,0.7534562211981566,0.555,4
Mazowieckie,2019,112.0,39092.0,43465.0,1682.0,136.0,192733.0,3096.0,5423168.0,24028.0,80.15,72.08,3.1,0.25,3.35,0.21,44.31,5.71,3224.24,1.0,0.5347432024169184,0.4312500000000001,0.3,0.46409519901518276,0.5783410138248848,0.551,5
Dolnośląskie,2019,84.0,18060.0,16046.0,992.0,62.0,102818.0,1611.0,2900163.0,13152.0,55.33,62.27,3.42,0.21,3.63,0.29,45.35,5.55,2923.55,0.5495462794918329,0.34950906344410887,0.60625,0.7,0.5067706196142799,0.5414746543778801,0.542,6
Małopolskie,2019,73.0,24088.0,23688.0,1062.0,123.0,138691.0,1924.0,3410901.0,13750.0,69.45,70.62,3.11,0.36,3.47,0.21,40.31,5.64,3211.77,0.8058076225045372,0.5071752265861028,0.5062500000000002,0.3,0.29995896594173177,0.5622119815668202,0.497,7
Podkarpackie,2019,41.0,16236.0,10054.0,665.0,122.0,102023.0,1251.0,2127164.0,9349.0,47.26,76.33,3.13,0.57,3.7,0.19,43.95,5.88,3198.74,0.4030852994555353,0.6149924471299094,0.6500000000000001,0.20000000000000007,0.4493229380385722,0.6175115207373272,0.489,8
Świętokrzyskie,2019,24.0,9689.0,6575.0,396.0,54.0,68687.0,642.0,1233961.0,5348.0,53.28,78.52,3.21,0.44,3.65,0.19,43.34,5.2,3116.06,0.5123411978221415,0.6563444108761329,0.61875,0.20000000000000007,0.42429216249487095,0.4608294930875576,0.479,9
Opolskie,2019,29.0,6206.0,4060.0,304.0,43.0,38957.0,548.0,982626.0,3839.0,41.32,63.16,3.09,0.44,3.53,0.3,39.07,5.58,3232.32,0.2952813067150635,0.36631419939577037,0.54375,0.75,0.24907673368896188,0.5483870967741935,0.459,10
Zachodniopomorskie,2019,44.0,9812.0,8969.0,552.0,42.0,80321.0,923.0,1696193.0,6876.0,52.88,57.85,3.25,0.25,3.5,0.26,40.54,5.44,3072.81,0.5050816696914701,0.26604984894259825,0.525,0.5500000000000002,0.30939679934345504,0.5161290322580646,0.445,11
Warmińsko-Mazurskie,2019,39.0,8483.0,6032.0,413.0,40.0,106374.0,870.0,1422737.0,6241.0,42.4,59.62,2.9,0.28,3.18,0.27,43.87,6.11,3444.88,0.3148820326678765,0.29947129909365555,0.32500000000000007,0.6000000000000002,0.4460402133771029,0.6705069124423964,0.443,12
Lubuskie,2019,24.0,6041.0,4571.0,305.0,43.0,56393.0,573.0,1011592.0,3978.0,45.19,59.72,3.02,0.43,3.44,0.24,39.32,5.66,3316.7,0.36551724137931024,0.3013595166163142,0.4875,0.45,0.2593352482560526,0.5668202764976958,0.405,13
Kujawsko-Pomorskie,2019,40.0,13062.0,11275.0,604.0,87.0,136211.0,920.0,2072373.0,8867.0,54.41,63.03,2.91,0.42,3.33,0.19,42.79,4.44,3431.08,0.5328493647912884,0.36385951661631427,0.41875000000000007,0.20000000000000007,0.40172343044727127,0.28571428571428575,0.367,14
Wielkopolskie,2019,59.0,15309.0,12856.0,1260.0,115.0,134356.0,1949.0,3498733.0,13094.0,36.74,43.76,3.6,0.33,3.93,0.17,37.42,5.57,2776.77,0.21215970961887476,0.0,0.7937500000000002,0.1000000000000001,0.18137053754616342,0.5460829493087558,0.306,15
Pomorskie,2019,44.0,11469.0,11800.0,667.0,41.0,101854.0,1114.0,2343928.0,8433.0,50.34,48.93,2.85,0.17,3.02,0.19,35.98,4.75,3514.13,0.458983666061706,0.09762084592145018,0.22499999999999998,0.20000000000000007,0.12228149363972085,0.3571428571428571,0.244,16
Śląskie,2020,141.0,33089.0,30556.0,1410.0,92.0,141579.0,2711.0,4412097.0,22668.0,69.26,75.0,3.2,0.21,3.4,0.32,51.38,6.14,3129.15,0.8023593466424682,0.5898791540785498,0.46249999999999997,0.8500000000000001,0.7542059909725074,0.6774193548387096,0.689,1
Lubelskie,2020,45.0,15662.0,13918.0,739.0,53.0,79831.0,1203.0,2056908.0,10738.0,67.66,76.14,3.59,0.26,3.85,0.22,52.2,5.85,2783.37,0.773321234119782,0.6114048338368581,0.7437500000000001,0.3500000000000001,0.7878539187525648,0.6105990783410137,0.646,2
Łódzkie,2020,60.0,15455.0,16361.0,823.0,79.0,103314.0,1603.0,2415816.0,11491.0,67.72,63.97,3.41,0.33,3.73,0.25,47.57,6.64,2935.38,0.7744101633393828,0.38160876132930516,0.6687500000000001,0.5000000000000001,0.5978662289700453,0.792626728110599,0.619,3
Podlaskie,2020,34.0,8060.0,6361.0,369.0,49.0,60643.0,727.0,1156591.0,5401.0,55.0,69.69,3.19,0.42,3.61,0.29,46.7,6.29,3134.39,0.5435571687840289,0.4896148036253776,0.59375,0.7,0.5621665982765697,0.7119815668202765,0.6,4
Dolnośląskie,2020,86.0,18311.0,16726.0,947.0,56.0,95667.0,1538.0,2908378.0,13294.0,57.51,62.96,3.26,0.19,3.45,0.3,45.71,5.29,3071.15,0.5891107078039926,0.3625377643504532,0.49375000000000013,0.75,0.5215428805908905,0.48156682027649766,0.533,5
Mazowieckie,2020,118.0,39185.0,43673.0,1637.0,134.0,183173.0,3097.0,5517616.0,24294.0,79.15,71.02,2.97,0.24,3.21,0.21,44.03,5.61,3370.57,0.9818511796733213,0.5147280966767371,0.34374999999999994,0.3,0.45260566270004116,0.555299539170507,0.525,6
Świętokrzyskie,2020,24.0,9613.0,6573.0,390.0,46.0,62316.0,634.0,1199584.0,5404.0,54.79,80.14,3.25,0.38,3.63,0.2,45.05,5.29,3075.86,0.5397459165154264,0.6869335347432024,0.60625,0.2500000000000001,0.49446040213377096,0.48156682027649766,0.51,7
Podkarpackie,2020,41.0,16113.0,10153.0,643.0,121.0,96164.0,1254.0,2096166.0,9045.0,48.44,76.87,3.07,0.58,3.64,0.2,43.15,5.98,3259.98,0.4245009074410162,0.625188821752266,0.6125000000000002,0.2500000000000001,0.4164956914238818,0.6405529953917052,0.495,8
Warmińsko-Mazurskie,2020,41.0,8493.0,5785.0,406.0,37.0,98313.0,866.0,1385622.0,6381.0,41.75,61.29,2.93,0.27,3.2,0.3,46.05,6.25,3412.86,0.3030852994555353,0.3310045317220544,0.3375000000000001,0.75,0.5354944604021337,0.7027649769585254,0.493,9
Małopolskie,2020,72.0,24227.0,23864.0,1046.0,121.0,133970.0,1966.0,3432692.0,13540.0,69.52,70.58,3.05,0.35,3.4,0.21,39.44,5.73,3281.73,0.8070780399274046,0.5064199395770392,0.46249999999999997,0.3,0.264259335248256,0.5829493087557605,0.487,10
Opolskie,2020,29.0,6277.0,4195.0,291.0,37.0,36435.0,532.0,955844.0,4022.0,43.89,65.67,3.04,0.39,3.43,0.3,42.08,5.57,3284.69,0.3419237749546279,0.41370845921450156,0.4812500000000001,0.75,0.37258924907673363,0.5460829493087558,0.484,11
Zachodniopomorskie,2020,44.0,9761.0,8880.0,549.0,40.0,73007.0,884.0,1661073.0,6901.0,53.46,58.76,3.31,0.24,3.55,0.26,41.55,5.32,3025.63,0.5156079854809437,0.28323262839879154,0.5562499999999999,0.5500000000000002,0.3508411981945014,0.4884792626728111,0.457,12
Lubuskie,2020,26.0,6029.0,4635.0,297.0,43.0,53285.0,564.0,993329.0,4172.0,46.66,60.69,2.99,0.43,3.42,0.26,42.0,5.68,3344.54,0.39219600725952797,0.3196752265861027,0.475,0.5500000000000002,0.3693065244152647,0.5714285714285713,0.446,13
Kujawsko-Pomorskie,2020,40.0,12951.0,11283.0,594.0,87.0,128077.0,905.0,2031550.0,8593.0,55.54,63.75,2.92,0.43,3.35,0.2,42.3,4.45,3420.12,0.5533575317604355,0.3774546827794562,0.4312500000000001,0.2500000000000001,0.38161674189577344,0.28801843317972353,0.38,14
Wielkopolskie,2020,54.0,15522.0,13213.0,1250.0,117.0,129593.0,1898.0,3507042.0,13008.0,37.68,44.26,3.56,0.33,3.9,0.15,37.09,5.41,2805.63,0.22921960072595277,0.00944108761329305,0.775,0.0,0.16782929831760376,0.5092165898617511,0.282,15
Pomorskie,2020,43.0,11787.0,12157.0,665.0,40.0,92839.0,1114.0,2358256.0,8615.0,51.55,49.98,2.82,0.17,2.99,0.18,36.53,4.72,3546.25,0.48094373865698714,0.11744712990936554,0.2062500000000001,0.15,0.14485022568732053,0.3502304147465437,0.242,16
Podlaskie,2021,34.0,9630.0,5193.0,369.0,50.0,55045.0,788.0,1148720.0,5562.0,45.21,83.83,3.21,0.44,3.65,0.3,48.42,6.86,3113.06,0.36588021778584384,0.7566087613293051,0.61875,0.75,0.6327451784981536,0.8433179723502304,0.661,1
Śląskie,2021,141.0,38445.0,18777.0,1372.0,92.0,131763.0,2654.0,4375947.0,22232.0,42.91,87.86,3.14,0.21,3.35,0.32,50.81,6.06,3189.47,0.32413793103448263,0.8327039274924471,0.4312500000000001,0.8500000000000001,0.7308165777595406,0.6589861751152073,0.638,2
Lubelskie,2021,47.0,18163.0,9072.0,734.0,51.0,70532.0,1243.0,2038299.0,10570.0,44.51,89.11,3.6,0.25,3.85,0.23,51.86,6.1,2776.97,0.3531760435571687,0.8563066465256798,0.7437500000000001,0.40000000000000013,0.7739023389413213,0.6682027649769584,0.633,3
Łódzkie,2021,61.0,18884.0,11659.0,820.0,79.0,92781.0,1629.0,2394946.0,11615.0,48.68,78.85,3.42,0.33,3.75,0.25,48.5,6.8,2920.67,0.4288566243194192,0.6625755287009063,0.68125,0.5000000000000001,0.6360279031596225,0.8294930875576036,0.623,4
Mazowieckie,2021,118.0,53320.0,30429.0,1616.0,135.0,163770.0,3219.0,5512794.0,25071.0,55.2,96.72,2.93,0.24,3.18,0.21,45.48,5.84,3411.38,0.5471869328493647,1.0,0.32500000000000007,0.3,0.5121050471891669,0.608294930875576,0.549,5
Dolnośląskie,2021,84.0,22399.0,11920.0,925.0,57.0,88183.0,1577.0,2897737.0,13406.0,41.14,77.3,3.19,0.2,3.39,0.29,46.26,5.44,3132.69,0.2920145190562613,0.6333081570996979,0.4562500000000001,0.7,0.54411161263849,0.5161290322580646,0.524,6
Opolskie,2021,30.0,6899.0,2705.0,291.0,35.0,32996.0,520.0,948583.0,4376.0,28.52,72.73,3.07,0.37,3.44,0.32,46.13,5.48,3259.74,0.0629764065335753,0.5470166163141995,0.4875,0.8500000000000001,0.538777185063603,0.5253456221198157,0.502,7
Świętokrzyskie,2021,23.0,10622.0,4342.0,382.0,46.0,54680.0,632.0,1187693.0,5504.0,36.56,89.43,3.22,0.39,3.6,0.19,46.34,5.32,3109.14,0.2088929219600726,0.8623489425981875,0.5875000000000001,0.20000000000000007,0.5473943372999591,0.4884792626728111,0.482,8
Warmińsko-Mazurskie,2021,42.0,9191.0,3777.0,395.0,34.0,84868.0,885.0,1374699.0,6425.0,27.48,66.86,2.87,0.25,3.12,0.31,46.74,6.44,3480.25,0.04410163339382939,0.436178247734139,0.28750000000000003,0.8,0.5638079606073042,0.7465437788018434,0.48,9
Podkarpackie,2021,43.0,17410.0,6321.0,632.0,121.0,81338.0,1286.0,2085932.0,9067.0,30.3,83.46,3.03,0.58,3.61,0.21,43.47,6.17,3300.53,0.0952813067150635,0.7496223564954682,0.59375,0.3,0.4296265900697579,0.684331797235023,0.475,10
Zachodniopomorskie,2021,44.0,10337.0,5831.0,541.0,41.0,65911.0,941.0,1650021.0,7052.0,35.34,62.65,3.28,0.25,3.53,0.27,42.74,5.7,3049.95,0.18675136116152452,0.35668429003021146,0.54375,0.6000000000000002,0.3996717275338532,0.5760368663594471,0.444,11
Małopolskie,2021,73.0,26918.0,14224.0,1024.0,118.0,117001.0,2034.0,3430370.0,13819.0,41.46,78.47,2.99,0.34,3.33,0.21,40.28,5.93,3349.97,0.2978221415607985,0.6554003021148036,0.41875000000000007,0.3,0.2987279441936808,0.629032258064516,0.433,12
Lubuskie,2021,24.0,5969.0,2469.0,291.0,43.0,47567.0,574.0,985487.0,4049.0,25.05,60.57,2.95,0.44,3.39,0.24,41.09,5.82,3386.55,0.0,0.3174093655589124,0.4562500000000001,0.45,0.3319655313910547,0.6036866359447005,0.36,13
Kujawsko-Pomorskie,2021,41.0,14724.0,6829.0,588.0,88.0,115259.0,920.0,2017720.0,8620.0,33.85,72.97,2.91,0.44,3.35,0.2,42.72,4.56,3431.5,0.15970961887477314,0.5515483383685801,0.4312500000000001,0.2500000000000001,0.39885104636848584,0.31336405529953903,0.351,14
Wielkopolskie,2021,55.0,23613.0,11409.0,1225.0,117.0,116818.0,1921.0,3500030.0,13169.0,32.6,67.47,3.5,0.33,3.83,0.16,37.63,5.49,2857.17,0.13702359346642468,0.4476963746223565,0.7312500000000001,0.05000000000000005,0.18998768978251962,0.5276497695852534,0.347,15
Pomorskie,2021,39.0,13875.0,9334.0,661.0,40.0,84512.0,1145.0,2358726.0,7910.0,39.57,58.82,2.8,0.17,2.97,0.17,33.54,4.85,3568.42,0.26352087114337563,0.28436555891238674,0.1937500000000001,0.1000000000000001,0.02215839146491585,0.38018433179723493,0.207,16
Podlaskie,2022,35.0,7270.0,4772.0,366.0,45.0,51771.0,809.0,1143355.0,5293.0,41.74,63.58,3.2,0.39,3.59,0.31,46.29,7.08,3123.92,0.30290381125226856,0.37424471299093653,0.5812499999999999,0.8,0.5453426343865408,0.8940092165898618,0.583,1
Lubelskie,2022,46.0,14264.0,8444.0,724.0,53.0,64594.0,1247.0,2024637.0,10406.0,41.71,70.45,3.58,0.26,3.84,0.23,51.4,6.16,2796.46,0.3023593466424682,0.5039652567975832,0.7374999999999999,0.40000000000000013,0.7550266721378744,0.6820276497695853,0.563,2
Śląskie,2022,140.0,27537.0,18931.0,1344.0,86.0,119442.0,2697.0,4346702.0,21652.0,43.55,63.35,3.09,0.2,3.29,0.32,49.81,6.2,3234.15,0.33575317604355703,0.36990181268882183,0.39375000000000004,0.8500000000000001,0.6897825194911779,0.6912442396313364,0.555,3
Łódzkie,2022,61.0,13584.0,10725.0,802.0,76.0,84827.0,1659.0,2378483.0,11160.0,45.09,57.11,3.37,0.32,3.69,0.26,46.92,6.98,2965.69,0.36370235934664247,0.2520770392749245,0.64375,0.5500000000000002,0.5711940910956095,0.870967741935484,0.542,4
Opolskie,2022,30.0,5364.0,2622.0,294.0,30.0,29855.0,551.0,942441.0,4222.0,27.82,56.92,3.12,0.32,3.44,0.32,44.8,5.85,3205.58,0.05027223230490017,0.24848942598187318,0.4875,0.8500000000000001,0.48420188756668026,0.6105990783410137,0.455,5
Dolnośląskie,2022,82.0,16608.0,11479.0,902.0,57.0,81613.0,1608.0,2888033.0,13360.0,39.75,57.51,3.12,0.2,3.32,0.28,46.26,5.57,3201.81,0.2667876588021778,0.2596299093655589,0.4124999999999999,0.6500000000000002,0.54411161263849,0.5460829493087558,0.447,6
Warmińsko-Mazurskie,2022,43.0,7417.0,3720.0,388.0,31.0,77890.0,882.0,1366430.0,6336.0,27.22,54.28,2.84,0.23,3.07,0.31,46.37,6.45,3521.73,0.03938294010889288,0.19864048338368587,0.25624999999999987,0.8,0.5486253590480098,0.7488479262672811,0.432,7
Świętokrzyskie,2022,24.0,8376.0,4097.0,372.0,43.0,49388.0,658.0,1178164.0,5202.0,34.77,71.09,3.16,0.36,3.52,0.2,44.15,5.58,3167.11,0.17640653357531763,0.5160498489425983,0.5375000000000001,0.2500000000000001,0.4575297496922445,0.5483870967741935,0.414,8
Mazowieckie,2022,115.0,35556.0,25819.0,1587.0,128.0,153068.0,3412.0,5510612.0,23712.0,46.85,64.52,2.88,0.23,3.11,0.21,43.03,6.19,3472.35,0.39564428312159705,0.3919939577039275,0.2812499999999999,0.3,0.4115716044316784,0.6889400921658987,0.412,9
Zachodniopomorskie,2022,44.0,8051.0,5544.0,533.0,45.0,59315.0,997.0,1640622.0,6809.0,33.79,49.07,3.25,0.27,3.52,0.27,41.5,6.08,3078.09,0.15862068965517237,0.10026435045317225,0.5375000000000001,0.6000000000000002,0.34878949528108333,0.663594470046083,0.401,10
Podkarpackie,2022,40.0,13770.0,6446.0,617.0,122.0,74800.0,1254.0,2079098.0,8702.0,31.0,66.23,2.97,0.59,3.55,0.19,41.85,6.03,3369.69,0.10798548094373862,0.42428247734138985,0.5562499999999999,0.20000000000000007,0.36315141567501036,0.652073732718894,0.384,11
Małopolskie,2022,72.0,20097.0,13223.0,1016.0,120.0,107065.0,2076.0,3429014.0,13590.0,38.56,58.61,2.96,0.35,3.31,0.21,39.63,6.05,3375.01,0.2451905626134301,0.28040030211480366,0.40625000000000006,0.3,0.2720558063192451,0.6566820276497696,0.36,12
Wielkopolskie,2022,59.0,17349.0,11006.0,1196.0,113.0,111771.0,1976.0,3493577.0,13629.0,31.5,49.66,3.42,0.32,3.75,0.17,39.01,5.66,2921.05,0.11705989110707801,0.11140483383685798,0.68125,0.1000000000000001,0.24661469019286003,0.5668202764976958,0.304,13
Lubuskie,2022,23.0,4676.0,2508.0,282.0,43.0,44027.0,580.0,979976.0,3863.0,25.59,47.72,2.88,0.44,3.32,0.23,39.42,5.92,3475.09,0.009800362976406516,0.07477341389728098,0.4124999999999999,0.40000000000000013,0.2634386540828889,0.6267281105990783,0.298,14
Kujawsko-Pomorskie,2022,41.0,11317.0,6546.0,574.0,87.0,100335.0,987.0,2006876.0,8399.0,32.62,56.39,2.86,0.43,3.29,0.2,41.85,4.92,3496.3,0.13738656987295816,0.2384818731117825,0.39375000000000004,0.2500000000000001,0.36315141567501036,0.3963133640552995,0.297,15
Pomorskie,2022,41.0,11165.0,8826.0,660.0,40.0,80097.0,1208.0,2358307.0,7820.0,37.43,47.34,2.8,0.17,2.97,0.17,33.16,5.12,3573.19,0.22468239564428308,0.06759818731117835,0.1937500000000001,0.1000000000000001,0.0065654493229379,0.44239631336405527,0.172,16
Podlaskie,2023,35.0,7884.0,5789.0,362.0,41.0,51645.0,831.0,1138216.0,5296.0,50.86,69.27,3.18,0.36,3.54,0.31,46.53,7.3,3144.24,0.46842105263157885,0.48168429003021146,0.55,0.8,0.555190808370948,0.944700460829493,0.633,1
Łódzkie,2023,62.0,14639.0,13060.0,777.0,76.0,84853.0,1707.0,2362519.0,11346.0,55.28,61.96,3.29,0.32,3.61,0.26,48.03,7.23,3040.56,0.548638838475499,0.3436555891238671,0.59375,0.5500000000000002,0.6167418957734921,0.9285714285714287,0.597,2
Śląskie,2023,143.0,28738.0,21672.0,1311.0,83.0,113784.0,2783.0,4320130.0,21324.0,50.17,66.52,3.03,0.19,3.23,0.33,49.36,6.44,3295.29,0.45589836660617056,0.42975830815709964,0.35624999999999996,0.9000000000000001,0.6713171932704145,0.7465437788018434,0.593,3
Lubelskie,2023,45.0,15193.0,10320.0,716.0,53.0,62967.0,1296.0,2011047.0,9568.0,51.32,75.55,3.56,0.26,3.82,0.22,47.58,6.44,2808.72,0.4767695099818511,0.6002643504531722,0.725,0.3500000000000001,0.5982765695527288,0.7465437788018434,0.583,4
Mazowieckie,2023,116.0,38332.0,33929.0,1573.0,125.0,149248.0,3570.0,5510527.0,23214.0,61.57,69.56,2.85,0.23,3.08,0.21,42.13,6.48,3503.2,0.6627949183303083,0.48716012084592153,0.2625,0.3,0.37464095199015196,0.7557603686635945,0.474,5
Świętokrzyskie,2023,24.0,8811.0,4911.0,367.0,44.0,48470.0,670.0,1168499.0,5218.0,42.03,75.4,3.14,0.38,3.52,0.21,44.66,5.73,3183.92,0.3081669691470054,0.5974320241691844,0.5375000000000001,0.3,0.47845711940910945,0.5829493087557605,0.467,6
Dolnośląskie,2023,78.0,17420.0,13657.0,885.0,53.0,79064.0,1666.0,2879271.0,13039.0,47.43,60.5,3.07,0.18,3.26,0.27,45.29,5.79,3253.41,0.4061705989110707,0.3160876132930514,0.37499999999999983,0.6000000000000002,0.5043085761181781,0.5967741935483871,0.466,7
Opolskie,2023,29.0,5575.0,3173.0,282.0,28.0,28917.0,579.0,936725.0,4030.0,33.87,59.52,3.01,0.3,3.31,0.31,43.02,6.18,3321.72,0.16007259528130663,0.29758308157099705,0.40625000000000006,0.8,0.4111612638489948,0.6866359447004607,0.46,8
Warmińsko-Mazurskie,2023,42.0,8044.0,4113.0,384.0,29.0,76338.0,907.0,1357910.0,6219.0,30.29,59.24,2.83,0.21,3.04,0.31,45.8,6.68,3536.22,0.09509981851179669,0.29229607250755296,0.2375,0.8,0.5252359458350431,0.8018433179723502,0.459,9
Zachodniopomorskie,2023,46.0,8483.0,6317.0,531.0,41.0,57345.0,1024.0,1631784.0,6631.0,38.71,51.99,3.25,0.25,3.51,0.28,40.64,6.28,3073.04,0.24791288566243191,0.15540030211480368,0.5312499999999999,0.6500000000000002,0.3135002051702914,0.7096774193548387,0.435,10
Podkarpackie,2023,41.0,14338.0,7505.0,593.0,121.0,72739.0,1294.0,2071676.0,8686.0,36.23,69.21,2.86,0.58,3.45,0.2,41.93,6.25,3493.55,0.2029038112522685,0.4805513595166162,0.49375000000000013,0.2500000000000001,0.3664341403364793,0.7027649769585254,0.416,11
